County,State,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,PercentageShootingsOnBlack,PercentageDemogIsBlack
Monongalia County,WV,100.00,0.00,60.00,60.00,20.00,3.90
Monroe County,AL,100.00,0.00,100.00,100.00,100.00,41.10
Monroe County,IL,100.00,0.00,100.00,0.00,0.00,0.40
Monroe County,IN,100.00,0.00,0.00,100.00,0.00,3.50
Monroe County,MS,100.00,0.00,100.00,100.00,0.00,30.80
Monroe County,NY,100.00,0.00,80.00,80.00,40.00,16.10
Monroe County,PA,100.00,0.00,100.00,66.67,0.00,15.10
Monroe County,WI,100.00,0.00,100.00,0.00,0.00,1.50
Montague County,TX,100.00,0.00,100.00,100.00,0.00,0.80
Montcalm County,MI,100.00,0.00,100.00,100.00,0.00,2.40
Monterey County,CA,100.00,0.00,87.50,62.50,0.00,3.50
Montezuma County,CO,100.00,0.00,100.00,100.00,0.00,0.50
Montgomery County,AL,100.00,0.00,75.00,50.00,66.67,56.70
Montgomery County,AR,0.00,100.00,100.00,0.00,0.00,0.60
Montgomery County,IL,0.00,100.00,100.00,0.00,0.00,3.40
Montgomery County,IN,100.00,0.00,100.00,100.00,0.00,1.00
Montgomery County,MD,88.89,11.11,55.56,33.33,55.56,18.80
Montgomery County,OH,100.00,6.25,93.75,80.00,56.25,21.10
Montgomery County,PA,100.00,25.00,100.00,33.33,66.67,9.40
Montgomery County,TN,100.00,25.00,100.00,100.00,25.00,19.70
Montgomery County,TX,100.00,0.00,100.00,50.00,16.67,4.90
Montgomery County,VA,100.00,0.00,100.00,100.00,0.00,4.20
Montrose County,CO,100.00,0.00,100.00,100.00,0.00,0.70
Moore County,NC,100.00,0.00,100.00,100.00,0.00,13.00
Moore County,TX,100.00,0.00,100.00,0.00,0.00,3.00
Morehouse Parish County,LA,100.00,0.00,100.00,100.00,100.00,47.90
Morgan County,CO,100.00,0.00,100.00,0.00,0.00,3.10
Morton County,ND,100.00,0.00,100.00,0.00,0.00,0.90
Mower County,MN,100.00,0.00,100.00,0.00,0.00,3.40
Muhlenberg County,KY,100.00,0.00,100.00,100.00,0.00,5.00
Multnomah County,OR,100.00,5.26,100.00,27.78,21.05,5.70
Muscogee County,GA,100.00,33.33,100.00,50.00,50.00,46.10
Muskingum County,OH,100.00,0.00,100.00,100.00,0.00,4.00
Muskogee County,OK,100.00,0.00,50.00,75.00,50.00,11.00
Nacogdoches County,TX,100.00,0.00,100.00,50.00,0.00,18.30
Napa County,CA,83.33,16.67,83.33,66.67,0.00,2.40
Nash County,NC,100.00,0.00,0.00,100.00,0.00,39.40
Nassau County,FL,100.00,16.67,100.00,60.00,16.67,6.50
Nassau County,NY,100.00,0.00,100.00,0.00,33.33,12.60
Natrona County,WY,100.00,0.00,100.00,80.00,0.00,1.70
Navajo County,AZ,100.00,0.00,75.00,75.00,0.00,1.30
Nelson County,KY,100.00,0.00,100.00,100.00,0.00,5.30
Neshoba County,MS,100.00,0.00,100.00,100.00,0.00,21.20
Nevada County,CA,100.00,0.00,100.00,33.33,0.00,0.60
New Castle County,DE,100.00,33.33,77.78,83.33,71.43,24.90
New Hanover County,NC,100.00,0.00,100.00,100.00,0.00,14.60
New Haven County,CT,100.00,0.00,33.33,33.33,33.33,14.20
New London County,CT,100.00,0.00,100.00,50.00,33.33,6.90
New York County,NY,96.67,6.45,77.42,56.67,74.07,18.30
Newberry County,SC,100.00,0.00,100.00,100.00,0.00,31.30
Newport News County,VA,100.00,0.00,100.00,75.00,75.00,41.10
Newport County,RI,100.00,0.00,100.00,100.00,0.00,4.10
Newton County,GA,100.00,0.00,100.00,100.00,66.67,43.00
Newton County,MO,100.00,0.00,100.00,100.00,0.00,1.00
Nicholas County,WV,100.00,0.00,100.00,100.00,0.00,0.30
Noble County,OK,100.00,0.00,100.00,100.00,0.00,1.80
Nolan County,TX,100.00,0.00,100.00,100.00,0.00,5.20
Norfolk County,MA,100.00,0.00,100.00,33.33,0.00,6.90
Norfolk County,VA,100.00,0.00,71.43,71.43,57.14,42.70
Northampton County,PA,100.00,0.00,100.00,0.00,0.00,6.30
Nueces County,TX,88.89,11.11,55.56,66.67,12.50,4.40
Nye County,NV,100.00,0.00,50.00,75.00,25.00,2.70
Oakland County,MI,87.50,22.22,100.00,62.50,33.33,14.50
Ocean County,NJ,83.33,16.67,83.33,33.33,20.00,3.50
Oconee County,SC,0.00,100.00,100.00,0.00,0.00,7.80
Oconto County,WI,100.00,0.00,100.00,100.00,0.00,0.30
Okaloosa County,FL,100.00,0.00,100.00,100.00,0.00,10.10
Okanogan County,WA,100.00,0.00,100.00,100.00,0.00,0.80
Okfuskee County,OK,0.00,100.00,100.00,0.00,0.00,8.00
Oklahoma County,OK,92.50,11.90,66.67,62.50,42.86,15.70
Okmulgee County,OK,100.00,40.00,100.00,66.67,20.00,8.60
Oldham County,KY,100.00,0.00,100.00,100.00,100.00,4.40
Oneida County,NY,100.00,0.00,100.00,0.00,0.00,6.80
Onondaga County,NY,100.00,0.00,71.43,57.14,83.33,11.70
Onslow County,NC,100.00,0.00,100.00,100.00,0.00,15.80
Ontario County,NY,100.00,0.00,100.00,100.00,100.00,2.60
Orange County,CA,82.93,33.33,74.51,34.15,10.26,2.10
Orange County,FL,84.00,19.23,88.46,60.00,41.67,22.20
Orange County,IN,100.00,0.00,100.00,0.00,0.00,1.10
Orange County,NC,100.00,0.00,100.00,100.00,100.00,12.20
Orange County,NY,80.00,20.00,80.00,20.00,40.00,11.80
Orange County,VT,100.00,0.00,100.00,100.00,0.00,0.60
Orangeburg County,SC,0.00,100.00,100.00,0.00,100.00,62.20
Orleans Parish County,LA,100.00,11.11,44.44,75.00,88.89,59.80
Orleans County,NY,100.00,0.00,100.00,100.00,0.00,6.70
Osage County,OK,100.00,0.00,100.00,100.00,0.00,11.30
Osceola County,FL,100.00,0.00,100.00,50.00,100.00,13.40
Osceola County,MI,100.00,0.00,100.00,0.00,0.00,0.80
Oswego County,NY,100.00,0.00,100.00,100.00,0.00,1.10
Otero County,NM,100.00,0.00,75.00,75.00,0.00,4.20
Otsego County,NY,100.00,0.00,100.00,0.00,0.00,2.20
Ottawa County,MI,100.00,0.00,100.00,100.00,0.00,1.80
Ottawa County,OK,100.00,0.00,100.00,100.00,0.00,1.20
Ouachita Parish County,LA,100.00,0.00,100.00,75.00,100.00,37.30
Outagamie County,WI,100.00,0.00,50.00,75.00,50.00,1.30
Overton County,TN,100.00,0.00,100.00,100.00,0.00,0.70
Owen County,IN,100.00,0.00,100.00,100.00,0.00,0.50
Owsley County,KY,100.00,0.00,100.00,0.00,0.00,0.50
Owyhee County,ID,100.00,0.00,0.00,100.00,0.00,0.80
Oxford County,ME,100.00,0.00,100.00,100.00,0.00,0.40
Page County,VA,100.00,0.00,100.00,100.00,0.00,2.20
Palm Beach County,FL,91.67,15.38,100.00,58.33,23.08,18.80
Panola County,TX,0.00,100.00,100.00,0.00,100.00,16.00
Park County,CO,100.00,0.00,100.00,100.00,0.00,0.60
Park County,MT,100.00,0.00,100.00,0.00,0.00,0.30
Parker County,TX,100.00,20.00,100.00,50.00,20.00,1.70
Pasco County,FL,100.00,0.00,66.67,66.67,0.00,5.60
Passaic County,NJ,100.00,0.00,100.00,62.50,60.00,14.80
Paulding County,GA,50.00,50.00,100.00,50.00,0.00,18.00
Payne County,OK,66.67,33.33,100.00,33.33,0.00,3.90
Peach County,GA,100.00,0.00,100.00,100.00,0.00,45.10
Pearl River County,MS,100.00,0.00,100.00,100.00,0.00,12.80
Pecos County,TX,100.00,0.00,100.00,100.00,0.00,4.40
Pemiscot County,MO,100.00,0.00,100.00,100.00,0.00,26.70
Pendleton County,WV,0.00,100.00,100.00,0.00,0.00,2.40
Pennington County,SD,88.89,11.11,100.00,66.67,0.00,1.60
Penobscot County,ME,100.00,0.00,100.00,75.00,0.00,0.90
Peoria County,IL,100.00,0.00,100.00,100.00,66.67,18.10
Perry County,AR,100.00,0.00,100.00,50.00,0.00,2.20
Perry County,KY,100.00,0.00,100.00,100.00,0.00,1.70
Perry County,OH,100.00,0.00,100.00,100.00,0.00,0.50
Pershing County,NV,100.00,0.00,100.00,0.00,0.00,4.20
Person County,NC,100.00,0.00,100.00,100.00,50.00,27.30
Pettis County,MO,66.67,33.33,100.00,66.67,0.00,3.40
Philadelphia County,PA,85.00,22.73,86.36,65.00,85.71,44.10
Phillips County,AR,100.00,0.00,100.00,50.00,100.00,61.60
Phillips County,CO,100.00,0.00,100.00,100.00,0.00,1.00
Phillips County,MT,100.00,0.00,100.00,0.00,0.00,0.10
Pickaway County,OH,100.00,0.00,100.00,100.00,0.00,3.70
Pickens County,AL,100.00,0.00,100.00,0.00,100.00,40.20
Pickens County,GA,100.00,0.00,100.00,100.00,50.00,1.70
Pickens County,SC,100.00,0.00,100.00,100.00,0.00,6.90
Pierce County,WA,96.15,10.71,96.43,53.85,22.73,7.40
Pike County,GA,100.00,0.00,100.00,100.00,0.00,10.50
Pike County,KY,100.00,0.00,100.00,0.00,0.00,0.80
Pike County,OH,50.00,66.67,100.00,50.00,0.00,1.10
Pima County,AZ,89.19,17.50,92.50,62.16,6.45,4.10
Pinal County,AZ,88.89,20.00,100.00,44.44,11.11,4.90
Pine County,MN,0.00,100.00,0.00,0.00,0.00,2.40
Pinellas County,FL,94.44,10.53,100.00,66.67,47.06,10.90
Pitt County,NC,100.00,0.00,100.00,80.00,80.00,34.80
Pittsburg County,OK,100.00,0.00,100.00,100.00,50.00,3.60
Placer County,CA,100.00,0.00,100.00,42.86,14.29,1.70
Plymouth County,MA,100.00,0.00,100.00,0.00,0.00,10.00
Pocahontas County,WV,100.00,0.00,100.00,100.00,0.00,1.10
Poinsett County,AR,100.00,0.00,100.00,100.00,0.00,8.00
Polk County,AR,100.00,0.00,100.00,100.00,0.00,0.50
Polk County,FL,95.00,5.00,100.00,65.00,10.00,15.70
Polk County,GA,0.00,100.00,100.00,0.00,0.00,13.00
Polk County,IA,90.00,10.00,70.00,60.00,20.00,6.70
Polk County,OR,100.00,0.00,100.00,50.00,0.00,0.80
Polk County,TX,100.00,0.00,100.00,100.00,0.00,11.40
Polk County,WI,100.00,0.00,100.00,0.00,0.00,0.40
Pontotoc County,MS,100.00,0.00,100.00,100.00,0.00,15.60
Pontotoc County,OK,100.00,0.00,100.00,80.00,0.00,2.50
Pope County,AR,100.00,0.00,100.00,60.00,0.00,3.20
Portage County,OH,100.00,0.00,100.00,0.00,50.00,4.50
Porter County,IN,100.00,50.00,50.00,0.00,50.00,3.80
Portsmouth County,VA,66.67,33.33,100.00,33.33,100.00,53.40
Pottawatomie County,KS,100.00,0.00,100.00,100.00,0.00,1.40
Pottawatomie County,OK,66.67,33.33,100.00,33.33,0.00,3.20
Pottawattamie County,IA,100.00,0.00,100.00,100.00,0.00,1.60
Potter County,TX,90.00,10.00,100.00,80.00,0.00,10.60
Powhatan County,VA,100.00,0.00,100.00,100.00,0.00,12.60
Pratt County,KS,100.00,0.00,100.00,100.00,0.00,1.40
Prince Edward County,VA,100.00,0.00,100.00,100.00,100.00,32.60
Prince George's County,MD,84.62,21.43,100.00,69.23,92.86,64.70
Prince William County,VA,66.67,33.33,100.00,33.33,33.33,21.50
Providence County,RI,100.00,33.33,66.67,50.00,66.67,11.40
Pueblo County,CO,94.44,15.00,85.00,66.67,5.00,2.50
Pulaski County,AR,100.00,14.29,85.71,50.00,50.00,36.00
Pulaski County,VA,100.00,0.00,100.00,100.00,0.00,5.30
Putnam County,FL,100.00,25.00,100.00,66.67,100.00,16.60
Putnam County,WV,100.00,0.00,100.00,100.00,50.00,1.10
Quay County,NM,100.00,0.00,100.00,0.00,0.00,1.80
Queens County,NY,100.00,0.00,80.00,80.00,50.00,20.80
Rabun County,GA,100.00,0.00,100.00,0.00,100.00,1.60
Racine County,WI,100.00,0.00,100.00,33.33,66.67,11.70
Raleigh County,WV,100.00,0.00,100.00,100.00,100.00,8.20
Ramsey County,MN,100.00,8.33,58.33,72.73,41.67,11.70
Ramsey County,ND,0.00,100.00,100.00,0.00,0.00,0.50
Randolph County,GA,100.00,0.00,100.00,100.00,100.00,60.90
Randolph County,IN,100.00,0.00,100.00,100.00,0.00,0.70
Randolph County,MO,100.00,0.00,100.00,0.00,0.00,5.90
Randolph County,NC,100.00,0.00,100.00,50.00,16.67,6.30
Randolph County,WV,100.00,0.00,100.00,50.00,0.00,1.50
Rankin County,MS,100.00,0.00,100.00,50.00,0.00,20.20
Rapides Parish County,LA,100.00,20.00,100.00,100.00,60.00,32.00
Real County,TX,100.00,0.00,100.00,100.00,0.00,0.90
Red River Parish County,LA,50.00,50.00,100.00,50.00,50.00,39.50
Red River County,TX,100.00,0.00,0.00,0.00,100.00,17.40
Refugio County,TX,100.00,0.00,100.00,100.00,100.00,6.70
Reno County,KS,100.00,0.00,100.00,50.00,0.00,3.40
Rensselaer County,NY,100.00,50.00,100.00,100.00,100.00,7.30
Richland County,OH,100.00,0.00,100.00,33.33,33.33,9.50
Richland County,SC,100.00,0.00,100.00,100.00,100.00,46.90
Richmond County,GA,100.00,0.00,100.00,75.00,50.00,55.50
Richmond County,NY,100.00,0.00,100.00,100.00,100.00,11.90
Richmond County,VA,87.50,12.50,75.00,50.00,62.50,48.93
Riley County,KS,100.00,0.00,0.00,100.00,0.00,6.90
Ripley County,IN,100.00,0.00,100.00,100.00,0.00,0.40
Ritchie County,WV,0.00,100.00,100.00,0.00,0.00,0.40
Riverside County,CA,98.25,15.15,92.42,57.89,13.64,7.00
Roane County,TN,100.00,0.00,100.00,100.00,0.00,2.70
Roane County,WV,100.00,0.00,100.00,66.67,0.00,0.40
Roanoke County,VA,100.00,0.00,75.00,75.00,50.00,17.74
Robeson County,NC,100.00,0.00,100.00,75.00,33.33,24.70
Rock Island County,IL,100.00,0.00,66.67,100.00,100.00,9.80
Rock County,WI,100.00,0.00,100.00,100.00,100.00,5.10
Rockcastle County,KY,100.00,0.00,100.00,100.00,0.00,0.40
Rockdale County,GA,100.00,0.00,100.00,100.00,0.00,51.00
Rockingham County,NC,0.00,100.00,100.00,0.00,0.00,19.00
Rockingham County,NH,100.00,0.00,100.00,100.00,0.00,0.90
Rockingham County,VA,100.00,0.00,100.00,33.33,0.00,2.10
Rockland County,NY,100.00,0.00,100.00,100.00,0.00,13.10
Rockwall County,TX,0.00,100.00,100.00,0.00,0.00,6.10
Rogers County,OK,100.00,25.00,100.00,66.67,0.00,1.30
Rolette County,ND,0.00,100.00,100.00,0.00,0.00,0.40
Rowan County,KY,100.00,0.00,100.00,100.00,0.00,1.90
Rowan County,NC,100.00,0.00,100.00,100.00,100.00,16.60
Runnels County,TX,100.00,0.00,100.00,100.00,0.00,2.60
Rusk County,TX,100.00,0.00,100.00,100.00,0.00,17.70
Rusk County,WI,100.00,0.00,100.00,0.00,0.00,0.60
Russell County,AL,100.00,50.00,75.00,50.00,33.33,42.90
Rutherford County,NC,100.00,0.00,100.00,100.00,0.00,9.90
Rutherford County,TN,100.00,0.00,100.00,100.00,50.00,14.00
Rutland County,VT,100.00,0.00,100.00,50.00,0.00,0.60
Sabine Parish County,LA,0.00,100.00,100.00,0.00,100.00,16.90
Sacramento County,CA,91.18,11.43,77.14,52.94,45.45,10.90
Saginaw County,MI,66.67,33.33,100.00,33.33,0.00,19.40
Saint Charles County,MO,100.00,0.00,100.00,100.00,0.00,4.70
Saint Clair County,AL,100.00,0.00,100.00,100.00,25.00,9.50
Saint Clair County,IL,100.00,25.00,100.00,100.00,75.00,30.20
Saint Clair County,MI,100.00,0.00,100.00,100.00,0.00,2.60
Saint Francis County,AR,100.00,0.00,100.00,100.00,66.67,52.70
Saint Francois County,MO,100.00,0.00,100.00,100.00,0.00,4.50
Saint Johns County,FL,80.00,20.00,100.00,60.00,0.00,5.70
Saint Joseph County,IN,100.00,0.00,100.00,25.00,50.00,13.20
Saint Joseph County,MI,100.00,0.00,100.00,0.00,0.00,2.80
Saint Lawrence County,NY,100.00,0.00,100.00,0.00,0.00,2.50
Saint Louis County,MN,100.00,0.00,80.00,60.00,0.00,1.60
Saint Louis County,MO,97.50,2.50,97.50,75.00,74.36,23.90
Saint Lucie County,FL,100.00,11.11,100.00,12.50,66.67,20.20
Saint Mary's County,MD,100.00,0.00,100.00,50.00,0.00,14.50
Saline County,AR,100.00,0.00,100.00,66.67,0.00,6.60
Saline County,KS,100.00,0.00,100.00,66.67,0.00,3.60
Salt Lake County,UT,94.74,5.26,65.79,52.63,16.22,2.00
Sampson County,NC,100.00,0.00,66.67,100.00,0.00,27.00
San Bernardino County,CA,93.06,14.10,93.59,44.44,15.62,9.50
San Diego County,CA,80.95,24.44,64.44,38.10,12.20,5.60
San Francisco County,CA,87.50,12.50,75.00,43.75,25.00,5.80
San Joaquin County,CA,100.00,10.53,89.47,47.06,33.33,8.10
San Juan County,NM,80.00,42.86,71.43,60.00,0.00,0.90
San Juan County,UT,100.00,0.00,100.00,100.00,0.00,0.40
San Luis Obispo County,CA,100.00,0.00,100.00,80.00,0.00,2.20
San Mateo County,CA,100.00,0.00,100.00,60.00,0.00,3.00
San Miguel County,NM,100.00,0.00,100.00,100.00,0.00,1.90
San Patricio County,TX,100.00,0.00,100.00,0.00,0.00,2.20
Sanders County,MT,100.00,0.00,100.00,100.00,0.00,0.30
Sandoval County,NM,100.00,0.00,100.00,100.00,0.00,2.60
Sangamon County,IL,0.00,100.00,0.00,0.00,0.00,12.40
Santa Barbara County,CA,100.00,10.00,100.00,44.44,0.00,2.40
Santa Clara County,CA,87.50,12.50,78.12,34.38,15.38,2.90
Santa Cruz County,AZ,100.00,0.00,100.00,0.00,0.00,0.90
Santa Cruz County,CA,100.00,0.00,66.67,33.33,0.00,1.40
Santa Fe County,NM,100.00,0.00,75.00,75.00,0.00,1.20
Santa Rosa County,FL,100.00,0.00,100.00,33.33,0.00,6.60
Sarasota County,FL,100.00,0.00,100.00,57.14,14.29,5.00
Schenectady County,NY,100.00,0.00,100.00,50.00,0.00,11.30
Scott County,IA,100.00,25.00,100.00,66.67,0.00,7.50
Scott County,KY,100.00,0.00,100.00,100.00,20.00,5.80
Scott County,MN,100.00,0.00,100.00,100.00,0.00,3.60
Scott County,TN,0.00,100.00,100.00,0.00,0.00,0.30
Scott County,VA,100.00,0.00,100.00,100.00,0.00,0.80
Screven County,GA,0.00,100.00,100.00,0.00,100.00,41.70
Scurry County,TX,50.00,50.00,100.00,50.00,0.00,5.10
Searcy County,AR,100.00,0.00,100.00,0.00,0.00,0.30
Sebastian County,AR,100.00,0.00,100.00,50.00,50.00,6.80
Sedgwick County,KS,83.33,23.08,92.31,41.67,0.00,9.50
Seminole County,FL,66.67,33.33,66.67,66.67,0.00,12.20
Seminole County,OK,100.00,0.00,100.00,0.00,0.00,4.60
Seneca County,OH,100.00,0.00,100.00,100.00,0.00,2.60
Sequoyah County,OK,75.00,25.00,100.00,50.00,0.00,2.00
Sevier County,TN,100.00,0.00,66.67,66.67,0.00,1.20
Shasta County,CA,94.44,5.56,100.00,66.67,0.00,1.10
Shawnee County,KS,100.00,20.00,80.00,50.00,20.00,8.80
Sheboygan County,WI,100.00,0.00,50.00,50.00,50.00,1.80
Shelby County,AL,100.00,0.00,100.00,0.00,0.00,12.10
Shelby County,IN,100.00,0.00,100.00,100.00,0.00,1.20
Shelby County,KY,100.00,0.00,0.00,100.00,0.00,7.70
Shelby County,TN,95.24,4.76,85.71,66.67,70.00,53.30
Shelby County,TX,100.00,0.00,100.00,100.00,0.00,17.60
Sheridan County,NE,100.00,0.00,100.00,0.00,0.00,0.40
Sherman County,TX,0.00,100.00,100.00,0.00,100.00,1.20
Sierra County,NM,100.00,0.00,100.00,100.00,0.00,0.80
Silver Bow County,MT,100.00,0.00,0.00,100.00,0.00,0.50
Simpson County,MS,100.00,0.00,100.00,100.00,0.00,35.70
Siskiyou County,CA,100.00,25.00,100.00,66.67,0.00,1.40
Smith County,TN,100.00,0.00,100.00,0.00,0.00,2.10
Smith County,TX,100.00,0.00,100.00,0.00,0.00,17.90
Snohomish County,WA,88.89,11.11,100.00,33.33,0.00,3.10
Socorro County,NM,100.00,0.00,100.00,100.00,0.00,1.30
Solano County,CA,88.89,20.00,60.00,22.22,40.00,14.80
Somerset County,ME,100.00,0.00,100.00,100.00,0.00,0.50
Somerset County,PA,100.00,0.00,100.00,0.00,0.00,2.80
Sonoma County,CA,100.00,33.33,66.67,0.00,0.00,1.90
Spalding County,GA,100.00,0.00,50.00,100.00,0.00,33.20
Spartanburg County,SC,100.00,12.50,87.50,57.14,37.50,21.00
Spokane County,WA,89.47,15.00,70.00,52.63,5.88,1.90
Spotsylvania County,VA,100.00,0.00,100.00,100.00,100.00,16.10
Stafford County,VA,100.00,0.00,100.00,100.00,0.00,18.00
Stanislaus County,CA,88.24,11.76,70.59,29.41,11.76,3.30
Stark County,ND,100.00,0.00,100.00,0.00,0.00,1.70
Stark County,OH,33.33,66.67,66.67,33.33,0.00,7.80
Starke County,IN,100.00,50.00,100.00,0.00,0.00,0.40
Starr County,TX,100.00,0.00,50.00,100.00,50.00,0.40
Stearns County,MN,100.00,0.00,100.00,50.00,0.00,3.90
Stevens County,MN,100.00,0.00,100.00,100.00,0.00,1.30
Stevens County,WA,100.00,0.00,100.00,100.00,0.00,0.50
Stewart County,GA,100.00,0.00,100.00,100.00,0.00,51.50
Stillwater County,MT,0.00,100.00,100.00,0.00,0.00,0.30
Stokes County,NC,100.00,0.00,100.00,0.00,0.00,4.20
Stone County,AR,100.00,0.00,100.00,100.00,0.00,0.40
Stone County,MO,100.00,0.00,100.00,100.00,0.00,0.50
Stone County,MS,100.00,0.00,0.00,100.00,0.00,19.80
Strafford County,NH,100.00,0.00,100.00,100.00,0.00,1.20
Stutsman County,ND,100.00,0.00,100.00,100.00,0.00,1.10
Suffolk County,MA,100.00,0.00,90.00,70.00,66.67,24.70
Suffolk County,NY,100.00,16.67,100.00,40.00,33.33,8.30
Suffolk County,VA,100.00,0.00,0.00,0.00,0.00,42.90
Sullivan County,IN,100.00,0.00,100.00,100.00,0.00,4.70
Sullivan County,NH,100.00,0.00,100.00,100.00,0.00,0.70
Sullivan County,PA,100.00,0.00,100.00,100.00,0.00,3.20
Sullivan County,TN,100.00,0.00,100.00,80.00,0.00,2.40
Summit County,OH,63.64,36.36,90.91,54.55,20.00,14.80
Sumner County,TN,100.00,0.00,50.00,0.00,50.00,7.10
Sumter County,FL,100.00,0.00,100.00,66.67,0.00,8.30
Sumter County,SC,100.00,0.00,50.00,100.00,50.00,47.10
Sussex County,DE,100.00,0.00,100.00,75.00,33.33,12.80
Sussex County,VA,100.00,0.00,100.00,100.00,100.00,57.50
Sutter County,CA,100.00,0.00,100.00,50.00,0.00,2.50
Talladega County,AL,100.00,66.67,100.00,100.00,33.33,32.50
Tallapoosa County,AL,100.00,0.00,0.00,0.00,0.00,27.30
Tangipahoa Parish County,LA,100.00,33.33,66.67,50.00,0.00,30.20
Taos County,NM,100.00,0.00,100.00,66.67,0.00,0.80
Tarrant County,TX,86.11,18.42,84.21,66.67,34.29,16.20
Tate County,MS,100.00,0.00,100.00,100.00,100.00,31.30
Tattnall County,GA,50.00,50.00,100.00,0.00,0.00,29.50
Taylor County,TX,100.00,0.00,100.00,33.33,33.33,7.80
Taylor County,WV,100.00,0.00,100.00,100.00,0.00,1.10
Tazewell County,IL,100.00,0.00,100.00,50.00,0.00,1.30
Tehama County,CA,100.00,0.00,100.00,57.14,0.00,1.00
Terrebonne Parish County,LA,100.00,0.00,85.71,85.71,16.67,19.00
Thomas County,GA,100.00,50.00,50.00,100.00,100.00,36.80
Thomas County,KS,100.00,0.00,100.00,100.00,0.00,0.80
Thurston County,WA,100.00,16.67,100.00,40.00,0.00,3.40
Tioga County,PA,100.00,0.00,100.00,0.00,100.00,0.90
Tippecanoe County,IN,100.00,0.00,100.00,100.00,0.00,4.90
Tishomingo County,MS,100.00,0.00,100.00,100.00,0.00,2.80
Todd County,KY,100.00,0.00,100.00,100.00,0.00,8.50
Todd County,SD,100.00,33.33,66.67,0.00,0.00,0.30
Tolland County,CT,100.00,0.00,100.00,0.00,0.00,3.60
Tom Green County,TX,100.00,0.00,100.00,80.00,0.00,4.60
Tompkins County,NY,100.00,0.00,100.00,0.00,0.00,4.40
Tooele County,UT,100.00,0.00,100.00,100.00,0.00,0.90
Toole County,MT,100.00,0.00,100.00,100.00,0.00,0.80
Transylvania County,NC,100.00,0.00,100.00,100.00,0.00,4.10
Travis County,TX,93.10,6.90,82.76,68.97,14.29,8.90
Trigg County,KY,0.00,100.00,100.00,0.00,0.00,7.70
Trinity County,CA,100.00,0.00,100.00,100.00,0.00,0.50
Trinity County,TX,0.00,100.00,100.00,0.00,0.00,9.80
Troup County,GA,100.00,0.00,100.00,100.00,0.00,35.40
Trumbull County,OH,100.00,0.00,100.00,80.00,25.00,8.60
Tulare County,CA,93.33,6.67,100.00,46.67,7.14,2.20
Tulsa County,OK,90.62,12.12,75.76,46.88,15.62,10.80
Tuolumne County,CA,100.00,0.00,100.00,0.00,0.00,2.10
Tuscaloosa County,AL,0.00,100.00,100.00,0.00,0.00,31.00
Tuscarawas County,OH,100.00,0.00,0.00,0.00,100.00,0.90
Ulster County,NY,100.00,0.00,100.00,100.00,0.00,6.80
Union Parish County,LA,0.00,100.00,100.00,0.00,0.00,26.20
Union County,AR,0.00,100.00,100.00,0.00,100.00,32.60
Union County,IA,100.00,0.00,100.00,100.00,0.00,1.00
Union County,IN,100.00,0.00,100.00,0.00,0.00,0.70
Union County,NC,100.00,0.00,0.00,0.00,0.00,12.10
Union County,SC,100.00,0.00,100.00,50.00,0.00,31.70
Unknown County,SC,100.00,0.00,100.00,0.00,0.00,31.70
Upshur County,TX,100.00,0.00,0.00,100.00,0.00,8.50
Upshur County,WV,100.00,0.00,100.00,100.00,0.00,0.90
Utah County,UT,100.00,0.00,80.00,20.00,0.00,0.70
Val Verde County,TX,0.00,100.00,100.00,0.00,0.00,2.00
Valencia County,NM,50.00,50.00,100.00,25.00,50.00,1.70
Van Buren County,AR,100.00,0.00,100.00,100.00,0.00,0.50
Van Wert County,OH,100.00,0.00,100.00,0.00,0.00,1.00
Vance County,NC,100.00,0.00,100.00,100.00,0.00,50.90
Vanderburgh County,IN,100.00,0.00,50.00,37.50,25.00,9.40
Ventura County,CA,87.50,12.50,62.50,25.00,16.67,2.20
Vermilion Parish County,LA,100.00,0.00,0.00,100.00,100.00,14.70
Vermilion County,IL,100.00,0.00,100.00,100.00,100.00,13.50
Vernon Parish County,LA,100.00,0.00,100.00,100.00,100.00,14.80
Vernon County,MO,0.00,100.00,100.00,0.00,0.00,0.80
Victoria County,TX,100.00,0.00,0.00,0.00,0.00,6.90
Vigo County,IN,80.00,20.00,100.00,80.00,0.00,7.20
Virginia Beach County,VA,85.71,25.00,100.00,57.14,50.00,20.00
Volusia County,FL,95.45,4.55,59.09,72.73,9.09,11.10
Wabash County,IN,100.00,0.00,50.00,100.00,0.00,0.80
Wadena County,MN,100.00,0.00,100.00,100.00,0.00,1.00
Wagoner County,OK,0.00,100.00,50.00,0.00,0.00,3.90
Wake County,NC,100.00,0.00,90.91,72.73,50.00,21.30
Walker County,AL,0.00,100.00,100.00,0.00,0.00,6.40
Walker County,GA,100.00,0.00,100.00,100.00,0.00,4.50
Walker County,TX,100.00,0.00,100.00,0.00,0.00,23.10
Walla Walla County,WA,100.00,0.00,100.00,100.00,0.00,2.10
Waller County,TX,100.00,0.00,100.00,100.00,50.00,25.60
Walton County,GA,100.00,0.00,100.00,60.00,75.00,17.00
Walworth County,WI,50.00,50.00,100.00,0.00,50.00,1.30
Ward County,TX,100.00,50.00,100.00,100.00,100.00,4.90
