State,County,NativeAmerPerc
UT,Garfield County,2.4
NM,Eddy County,2.4
KS,Cowley County,2.4
NM,Luna County,2.3
OR,Curry County,2.3
MN,Saint Louis County,2.3
NM,Grant County,2.3
NV,Douglas County,2.3
AR,Sebastian County,2.3
NM,Doña Ana County,2.3
KS,Stanton County,2.3
AR,Scott County,2.3
OR,Sherman County,2.3
KS,Grant County,2.3
CA,Sutter County,2.3
SD,Lawrence County,2.3
SD,Codington County,2.3
MN,Norman County,2.2
CA,Santa Barbara County,2.2
WA,Jefferson County,2.2
SD,Harding County,2.2
CA,Sonoma County,2.2
MN,Red Lake County,2.2
MT,Treasure County,2.2
TX,Polk County,2.2
FL,Hendry County,2.2
OR,Lake County,2.2
MI,Manistee County,2.2
ID,Minidoka County,2.2
CA,Amador County,2.2
ID,Clearwater County,2.2
AZ,Yuma County,2.2
NM,Roosevelt County,2.2
NM,Chaves County,2.2
CA,Tuolumne County,2.2
KS,Labette County,2.2
ID,Clark County,2.2
MT,Lewis and Clark County,2.2
NC,Greene County,2.2
ID,Boundary County,2.2
TX,Edwards County,2.2
MT,Silver Bow County,2.1
NM,Curry County,2.1
MT,Daniels County,2.1
CO,Adams County,2.1
WA,Grant County,2.1
OK,Beaver County,2.1
MT,Dawson County,2.1
NE,Hooker County,2.1
NE,Burt County,2.1
SD,Haakon County,2.1
TX,Hutchinson County,2.1
AL,DeKalb County,2.1
NV,Washoe County,2.1
TX,Dickens County,2.1
WA,Skamania County,2.1
TX,Lipscomb County,2.1
TX,Coke County,2.1
AZ,Yavapai County,2.1
OR,Malheur County,2
NE,Kimball County,2
CO,Baca County,2
ND,Pembina County,2
MT,Sheridan County,2
TX,Parmer County,2
MT,Custer County,2
UT,Beaver County,2
SD,Aurora County,2
AR,Polk County,2
OR,Yamhill County,2
UT,Millard County,2
NV,Nye County,2
CA,San Bernardino County,2
OR,Douglas County,2
ND,Walsh County,2
SD,Butte County,2
CO,Denver County,2
CA,San Joaquin County,2
WI,Douglas County,2
WA,Douglas County,2
NV,Storey County,2
NE,Dawson County,1.9
WA,Cowlitz County,1.9
CO,Fremont County,1.9
ND,Grant County,1.9
MT,Powder River County,1.9
CA,Calaveras County,1.9
NE,Madison County,1.9
LA,St. Mary Parish,1.9
KS,Stafford County,1.9
MI,Marquette County,1.9
NM,Lea County,1.9
AR,Benton County,1.9
SD,Sully County,1.9
ME,Aroostook County,1.9
CA,Sierra County,1.9
TX,Lynn County,1.9
AR,Little River County,1.9
WA,Lincoln County,1.9
CA,Ventura County,1.9
CA,Stanislaus County,1.9
TX,Dallam County,1.9
OK,Texas County,1.9
TX,Real County,1.9
SD,Spink County,1.9
MT,Mineral County,1.9
MT,Beaverhead County,1.9
MT,Richland County,1.9
KS,Hamilton County,1.9
TX,Crockett County,1.9
TX,Delta County,1.9
NM,De Baca County,1.9
AR,Bradley County,1.9
CA,Riverside County,1.9
MN,Pennington County,1.9
CA,Yolo County,1.8
OR,Morrow County,1.8
ID,Shoshone County,1.8
MO,Jasper County,1.8
WA,Lewis County,1.8
TX,Hamilton County,1.8
CO,Montrose County,1.8
WA,Kitsap County,1.8
ID,Gooding County,1.8
TX,Sterling County,1.8
TX,Winkler County,1.8
CA,Santa Cruz County,1.8
CO,Garfield County,1.8
WI,Outagamie County,1.8
SD,Potter County,1.8
VA,King and Queen County,1.8
CO,Prowers County,1.8
TX,Grayson County,1.8
NC,Cumberland County,1.8
TX,Lamb County,1.8
WA,Chelan County,1.8
TX,Motley County,1.7
NE,Morrill County,1.7
TX,Yoakum County,1.7
MN,Polk County,1.7
KS,Edwards County,1.7
LA,Vernon Parish,1.7
KS,Elk County,1.7
TX,Gonzales County,1.7
TX,Lamar County,1.7
ID,Lincoln County,1.7
WY,Carbon County,1.7
UT,Kane County,1.7
AR,Madison County,1.7
CO,Weld County,1.7
MT,Jefferson County,1.7
WY,Weston County,1.7
WA,Thurston County,1.7
CO,Jackson County,1.7
TX,Hansford County,1.7
WY,Washakie County,1.7
WA,Spokane County,1.7
NC,Hertford County,1.7
NC,Harnett County,1.7
SD,Perkins County,1.7
WA,Pierce County,1.7
UT,Washington County,1.7
AZ,Cochise County,1.7
LA,Plaquemines Parish,1.7
TX,Brewster County,1.7
ND,Nelson County,1.7
ID,Canyon County,1.7
TX,Deaf Smith County,1.7
OR,Wheeler County,1.7
TX,Ward County,1.7
UT,Sanpete County,1.7
TX,Bastrop County,1.7
TX,Hale County,1.7
MI,Charlevoix County,1.6
ID,Payette County,1.6
TX,Runnels County,1.6
UT,Carbon County,1.6
KS,Stevens County,1.6
WA,Columbia County,1.6
TX,Waller County,1.6
KS,Ford County,1.6
ND,Stutsman County,1.6
NJ,Cumberland County,1.6
MN,Roseau County,1.6
OR,Crook County,1.6
TX,Crane County,1.6
ID,Elmore County,1.6
CO,Logan County,1.6
WI,Juneau County,1.6
TX,Howard County,1.6
TX,Sherman County,1.6
ID,Cassia County,1.6
OK,Cimarron County,1.6
TX,Castro County,1.6
WA,Snohomish County,1.6
TX,Presidio County,1.6
OR,Tillamook County,1.6
WA,Asotin County,1.6
AL,Jackson County,1.6
MN,Clay County,1.6
NE,Hall County,1.6
TX,Cherokee County,1.6
WY,Hot Springs County,1.6
CO,Morgan County,1.6
MT,Teton County,1.6
ND,Sheridan County,1.6
TX,Caldwell County,1.5
KS,Seward County,1.5
MO,Oregon County,1.5
SC,Saluda County,1.5
TX,Wheeler County,1.5
OR,Jackson County,1.5
TX,Hockley County,1.5
KS,Doniphan County,1.5
TX,Hall County,1.5
TX,Kenedy County,1.5
KS,Greenwood County,1.5
CO,Chaffee County,1.5
MI,Oceana County,1.5
NM,Harding County,1.5
NE,Logan County,1.5
CA,Sacramento County,1.5
IA,Emmet County,1.5
TX,Moore County,1.5
OR,Linn County,1.5
OR,Multnomah County,1.5
MN,Pipestone County,1.5
ID,Washington County,1.5
MT,Broadwater County,1.5
TX,Red River County,1.5
CO,Moffat County,1.5
WA,Wahkiakum County,1.5
AR,Newton County,1.5
NJ,Passaic County,1.5
WY,Campbell County,1.5
TX,Wilbarger County,1.5
TX,King County,1.5
AL,Franklin County,1.5
UT,Sevier County,1.5
TX,Clay County,1.5
MI,Benzie County,1.5
OR,Josephine County,1.5
CO,Mesa County,1.5
TX,Mitchell County,1.5
