State,County,BlackPerc
NJ,Mercer County,21.2
PA,Delaware County,21.2
KY,Christian County,21.1
AL,Calhoun County,21.1
TX,Fort Bend County,21.1
NJ,Camden County,21.1
OH,Montgomery County,21.1
SC,Spartanburg County,21
AR,Howard County,20.9
NC,Cleveland County,20.9
NY,Queens County,20.8
GA,Lee County,20.7
FL,Taylor County,20.7
GA,Wayne County,20.7
SC,Cherokee County,20.7
MI,Genesee County,20.6
TX,Robertson County,20.6
MS,Lamar County,20.6
TX,Gregg County,20.5
FL,Alachua County,20.5
LA,Plaquemines Parish,20.4
TX,Madison County,20.3
AL,Randolph County,20.2
MS,Rankin County,20.2
FL,Saint Lucie County,20.2
MS,Perry County,20.2
TX,Newton County,20.1
NC,Pamlico County,20.1
NC,Lee County,20.1
VA,Virginia Beach,20
VA,Appomattox County,19.9
TN,Hamilton County,19.8
MS,Stone County,19.8
OH,Lucas County,19.7
TN,Montgomery County,19.7
AR,Little River County,19.7
MS,Webster County,19.7
AL,Dale County,19.7
FL,Liberty County,19.7
GA,Appling County,19.7
GA,Camden County,19.5
NC,Alamance County,19.5
SC,York County,19.5
TX,Harris County,19.5
MI,Saginaw County,19.4
GA,Chattahoochee County,19.3
IL,Brown County,19.2
VA,Charlottesville,19.2
FL,Bradford County,19.1
FL,Gulf County,19.1
SC,Beaufort County,19.1
GA,Carroll County,19.1
VA,Amherst County,19.1
NC,Rockingham County,19
NC,Montgomery County,19
LA,Terrebonne Parish,19
PA,Forest County,19
FL,Miami-Dade County,18.9
GA,Hart County,18.8
FL,Palm Beach County,18.8
KS,Geary County,18.8
MD,Montgomery County,18.8
TN,Tipton County,18.7
PA,Dauphin County,18.7
AL,Autauga County,18.7
TN,Gibson County,18.6
MD,Howard County,18.6
SC,Greenville County,18.5
FL,Columbia County,18.5
LA,Acadia Parish,18.3
NY,New York County,18.3
TX,Nacogdoches County,18.3
TX,Limestone County,18.1
IL,Peoria County,18.1
GA,Paulding County,18
GA,Coweta County,18
VA,Stafford County,18
TX,Washington County,18
TX,Smith County,17.9
GA,Atkinson County,17.9
OK,Comanche County,17.8
VA,Roanoke County,17.7388
VA,Middlesex County,17.7
GA,Oglethorpe County,17.7
VA,Goochland County,17.7
AL,Coffee County,17.7
TX,Rusk County,17.7
AR,Jackson County,17.6
TX,Shelby County,17.6
FL,Hillsborough County,17.5
VA,King William County,17.5
NJ,Burlington County,17.5
TX,Red River County,17.4
TX,Coryell County,17.4
NJ,Atlantic County,17.3
VA,King George County,17.3
IL,Macon County,17.1
TX,Cass County,17.1
NC,Cabarrus County,17.1
GA,Harris County,17.1
LA,Jefferson Davis Parish,17.1
LA,Caldwell Parish,17
GA,Walton County,17
GA,Columbia County,16.9
TX,Camp County,16.9
LA,Sabine Parish,16.9
NC,Pender County,16.8
MS,Tippah County,16.7
VA,Louisa County,16.7
FL,Putnam County,16.6
NC,Rowan County,16.6
MD,Anne Arundel County,16.6
SC,Anderson County,16.6
TX,Jasper County,16.6
GA,Bacon County,16.5
