County,NumBelowPoverty,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Cumberland County,10205,0,0,0,1,0
Curry County,9633,0,1,0,0,0
Custer County,1030,0,0,0,1,0
Cuyahoga County,230549,12,0,0,6,1
Dade County,1571,0,0,0,0,0
Dakota County,31352,0,0,0,4,1
Dakota County,3524,0,1,0,0,0
Dale County,8610,0,0,0,2,0
Dallam County,1291,0,0,0,1,0
Dallas County,14807,1,0,0,0,0
Dallas County,1528,0,0,0,1,0
Dallas County,3737,0,0,0,1,0
Dallas County,481060,13,8,0,14,1
Dane County,66601,1,0,0,2,0
Danville County,11630,2,0,0,0,0
Darlington County,16272,1,0,0,2,0
Dauphin County,36103,3,0,0,1,0
Davidson County,26744,1,0,0,4,0
Davidson County,123644,4,1,0,3,0
Davie County,5552,0,0,0,1,0
Daviess County,14938,1,0,1,2,0
Davis County,26046,0,1,0,6,0
Davison County,2426,0,0,0,1,0
De Baca County,429,0,1,0,0,0
De Witt County,2280,0,0,0,1,0
DeKalb County,137211,4,1,0,4,0
DeKalb County,1257,0,0,0,1,0
DeKalb County,3661,0,0,0,1,0
DeSoto County,16749,2,1,0,2,0
Deaf Smith County,3628,0,1,0,0,0
Dearborn County,4505,0,0,0,2,0
Decatur County,7377,1,0,0,0,0
Decatur County,2637,0,0,0,1,0
Defiance County,5353,1,0,0,0,0
Del Norte County,5932,0,0,0,0,0
Delaware County,26108,0,0,0,5,0
Delaware County,9267,0,0,0,1,0
Delaware County,8787,0,0,1,3,0
Delaware County,57985,2,0,0,2,0
Denton County,65543,4,1,0,4,0
Denver County,126798,4,12,3,9,2
Des Moines County,5555,1,0,0,2,0
Deschutes County,24706,0,0,0,3,0
Deuel County,262,0,0,0,1,0
Dewey County,698,0,0,0,0,0
Dickson County,7789,0,0,0,1,0
Dillon County,9805,0,0,0,2,0
District of Columbia County,122554,14,0,0,2,0
Dixie County,2768,0,0,0,1,0
Dodge County,7972,0,0,0,1,0
Dorchester County,17965,1,0,0,0,0
Dougherty County,28831,1,0,0,0,0
Douglas County,12271,0,1,0,3,0
Douglas County,22343,1,0,0,2,0
Douglas County,2049,0,0,0,1,0
Douglas County,22151,0,0,0,1,0
Douglas County,3973,0,0,0,2,0
Douglas County,77684,5,0,0,7,0
Douglas County,4849,0,0,0,1,0
Douglas County,20004,0,0,0,1,0
Douglas County,6289,0,0,0,1,0
Doña Ana County,57693,0,10,0,4,0
DuPage County,64357,1,1,0,0,0
Duchesne County,1814,0,0,0,1,0
Duplin County,15749,0,0,0,1,0
Durham County,54475,5,0,0,1,0
Dutchess County,26692,0,1,0,1,0
Duval County,151711,18,4,0,12,0
Dyer County,6752,0,0,0,1,0
Eagle County,5768,1,0,0,0,0
East Baton Rouge Parish County,85640,12,0,0,0,0
East Feliciana Parish County,3428,2,0,0,0,0
Eastland County,3453,0,1,0,0,0
Eaton County,11727,0,0,0,1,0
Eau Claire County,15946,0,0,0,6,0
Ector County,24471,0,4,0,6,0
Eddy County,7049,0,2,0,2,0
Edgecombe County,13843,1,1,0,0,0
Effingham County,6207,0,0,0,2,0
El Dorado County,16478,1,0,0,1,0
El Paso County,82276,3,4,0,13,0
El Paso County,194202,2,8,0,5,0
Elbert County,3965,0,1,0,0,0
Elkhart County,33729,2,1,0,0,0
Elko County,4643,0,0,0,3,0
Ellis County,4700,0,0,0,2,0
Ellis County,18959,1,1,0,1,0
Elmore County,10851,3,0,0,0,0
Elmore County,4253,0,0,0,2,0
Emery County,1063,0,0,0,1,0
Emporia County,1584,1,0,0,0,0
Erie County,134734,1,2,0,1,0
Erie County,47057,0,0,0,1,0
Escambia County,9584,1,0,0,0,0
Escambia County,56229,4,0,0,1,0
Essex County,86138,1,1,0,5,0
Essex County,132090,11,0,0,0,0
Etowah County,19671,0,0,0,1,0
Evangeline Parish County,8257,1,0,0,1,0
Evans County,3041,1,0,0,0,0
Fairbanks North Star Borough County,8346,0,0,4,7,0
Fairfax County,68878,0,0,0,1,1
Fairfield County,86035,1,1,0,3,0
Fairfield County,17895,0,0,0,1,0
Falls Church County,544,0,1,0,0,0
Fayette County,8444,1,0,0,2,0
Fayette County,5789,1,0,0,1,0
Fayette County,24672,0,0,0,2,0
Fayette County,5462,1,0,0,2,0
Fayette County,9568,0,0,0,1,0
Fentress County,4589,0,0,0,1,0
Fergus County,1579,0,0,0,1,0
Fillmore County,2514,0,0,0,1,0
