County,NumUnder18,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Deuel County,407,0,0,0,1,0
Dewey County,1283,0,0,0,0,0
Dickson County,11835,0,0,0,1,0
Dillon County,8000,0,0,0,2,0
District of Columbia County,115306,14,0,0,2,0
Dixie County,3038,0,0,0,1,0
Dodge County,18335,0,0,0,1,0
Dorchester County,37860,1,0,0,0,0
Dougherty County,23009,1,0,0,0,0
Douglas County,89043,0,1,0,3,0
Douglas County,37331,1,0,0,2,0
Douglas County,5072,0,0,0,1,0
Douglas County,22151,0,0,0,1,0
Douglas County,7763,0,0,0,2,0
Douglas County,140157,5,0,0,7,0
Douglas County,8652,0,0,0,1,0
Douglas County,20860,0,0,0,1,0
Douglas County,10429,0,0,0,1,0
Doña Ana County,54274,0,10,0,4,0
DuPage County,218254,1,1,0,0,0
Duchesne County,6990,0,0,0,1,0
Duplin County,14911,0,0,0,1,0
Durham County,64781,5,0,0,1,0
Dutchess County,59909,0,1,0,1,0
Duval County,205573,18,4,0,12,0
Dyer County,9142,0,0,0,1,0
Eagle County,12278,1,0,0,0,0
East Baton Rouge Parish County,101698,12,0,0,0,0
East Feliciana Parish County,3864,2,0,0,0,0
Eastland County,3890,0,1,0,0,0
Eaton County,23562,0,0,0,1,0
Eau Claire County,20821,0,0,0,6,0
Ector County,45863,0,4,0,6,0
Eddy County,14832,0,2,0,2,0
Edgecombe County,12744,1,1,0,0,0
Effingham County,14909,0,0,0,2,0
El Dorado County,38265,1,0,0,1,0
El Paso County,166543,3,4,0,13,0
El Paso County,235877,2,8,0,5,0
Elbert County,4276,0,1,0,0,0
Elkhart County,56350,2,1,0,0,0
Elko County,14827,0,0,0,3,0
Ellis County,6354,0,0,0,2,0
Ellis County,43016,1,1,0,1,0
Elmore County,18625,3,0,0,0,0
Elmore County,6889,0,0,0,2,0
Emery County,3296,0,0,0,1,0
Emporia County,1300,1,0,0,0,0
Erie County,191027,1,2,0,1,0
Erie County,60701,0,0,0,1,0
Escambia County,8301,1,0,0,0,0
Escambia County,64617,4,0,0,1,0
Essex County,169200,1,1,0,5,0
Essex County,192565,11,0,0,0,0
Etowah County,22880,0,0,0,1,0
Evangeline Parish County,8897,1,0,0,1,0
Evans County,2910,1,0,0,0,0
Fairbanks North Star Borough County,23945,0,0,4,7,0
Fairfax County,276488,0,0,0,1,1
Fairfield County,223123,1,1,0,3,0
Fairfield County,36843,0,0,0,1,0
Falls Church County,3618,0,1,0,0,0
Fayette County,26210,1,0,0,2,0
Fayette County,6912,1,0,0,1,0
Fayette County,26147,0,0,0,2,0
Fayette County,8153,1,0,0,2,0
Fayette County,9297,0,0,0,1,0
Fentress County,3910,0,0,0,1,0
Fergus County,2334,0,0,0,1,0
Fillmore County,4924,0,0,0,1,0
Finney County,11564,0,1,0,0,0
Flathead County,21358,0,0,0,3,0
Florence County,33694,3,0,0,1,0
Floyd County,22575,0,0,0,2,0
Floyd County,17674,0,0,0,1,0
Foard County,273,0,0,0,1,0
Fond du Lac County,22285,0,0,0,1,0
Forest County,1880,0,0,1,1,0
Forrest County,17632,3,0,0,1,0
Forsyth County,59043,0,0,0,3,0
Forsyth County,86576,2,0,0,0,0
Fort Bend County,191211,3,0,0,2,0
Franklin Parish County,5212,0,0,0,1,0
Franklin County,4202,0,0,0,2,0
Franklin County,4876,0,0,0,0,0
Franklin County,4427,0,1,0,0,0
Franklin County,8710,0,1,0,0,0
Franklin County,5665,0,0,0,1,0
Franklin County,24092,0,0,0,2,0
Franklin County,14458,0,0,0,1,0
Franklin County,10201,0,0,0,1,0
Franklin County,291840,24,0,0,11,0
Franklin County,35012,0,0,0,0,0
Franklin County,8694,0,0,0,3,0
Franklin County,29416,1,3,0,0,0
Frederick County,58238,1,1,0,1,0
Fredericksburg County,5755,0,0,0,1,0
Freeborn County,6754,0,0,0,1,0
Freestone County,4565,0,1,0,0,0
Fremont County,10379,0,0,1,0,0
Fresno County,279166,1,16,0,9,1
Frio County,4522,0,1,0,0,0
Fulton County,231146,26,3,0,1,1
Fulton County,7273,0,0,0,1,0
Fulton County,1316,0,0,0,1,0
Fulton County,11254,0,0,0,1,0
Fulton County,3146,0,0,0,1,0
Gadsden County,10274,0,0,0,0,0
Gaines County,6818,0,0,0,1,0
Gallatin County,19948,0,0,0,2,0
Galveston County,77607,1,2,0,7,0
Garfield County,14882,0,0,0,3,0
Garfield County,16214,0,0,0,1,0
Garland County,20340,0,0,0,1,0
Garrard County,3726,0,0,0,1,0
Gaston County,48770,2,0,0,5,0
Geary County,11087,0,0,0,1,0
Genesee County,96617,2,0,0,1,0
Genesee County,12247,0,0,0,1,0
George County,6105,0,0,0,1,0
Gibson County,7832,0,0,0,1,0
Gibson County,12022,0,0,0,2,0
Gila County,10836,0,0,0,1,0
Giles County,3481,0,0,0,1,0
Gladwin County,4904,0,0,0,1,0
Gloucester County,66628,2,0,0,0,0
Glynn County,18982,1,0,0,0,0
Gonzales County,5422,1,0,0,0,0
Goochland County,4190,1,0,0,0,0
Gooding County,4248,0,0,0,2,0
Gordon County,14348,1,0,0,0,0
Grady County,13140,0,1,0,3,0
Grafton County,15421,0,0,0,2,0
Graham County,10742,0,0,0,1,0
Grand Forks County,14308,0,0,1,1,0
Granite County,520,0,0,0,1,0
Grant County,4264,1,0,0,0,0
Grant County,14262,0,0,0,1,0
Grant County,6052,0,0,0,0,0
Grant County,28130,0,1,0,0,0
Grant County,10521,0,0,0,1,0
Grays Harbor County,14943,0,0,0,2,0
Grayson County,6234,0,0,0,2,0
Grayson County,29401,1,0,0,2,0
Grayson County,2702,0,0,0,2,0
Green County,8562,0,1,0,0,0
Greene County,3150,1,0,0,0,0
Greene County,60032,1,0,0,10,0
Greene County,33911,0,0,0,1,0
Greene County,13667,1,0,0,2,0
Greenlee County,2626,0,0,0,1,0
Greenup County,7951,0,0,0,2,0
Greenville County,113447,5,0,0,8,0
Greenwood County,16059,1,0,0,0,0
Gregg County,31787,2,0,0,4,0
Grenada County,5135,0,0,0,1,0
Guadalupe County,38580,0,1,0,3,0
Guernsey County,9027,0,0,0,1,0
Guilford County,116763,4,0,0,3,0
Gulf County,2471,0,0,0,1,0
Gunnison County,2815,0,0,0,1,0
Guthrie County,2380,0,0,0,1,0
Gwinnett County,244062,5,0,0,2,0
Habersham County,10150,0,0,0,1,0
Hale County,9617,0,1,0,0,0
Hall County,50552,0,3,0,2,0
Hall County,16418,0,2,0,0,0
Hamblen County,14750,0,0,0,3,0
Hamilton County,3477,1,0,0,0,0
Hamilton County,86248,0,1,0,2,0
Hamilton County,712,0,0,0,1,0
Hamilton County,187945,6,0,0,1,0
Hamilton County,74459,1,1,0,12,0
Hampden County,105336,0,0,0,1,0
Hampshire County,4720,0,0,0,1,0
Hampton County,29703,1,0,0,0,0
Hancock County,10155,0,0,0,1,0
Hancock County,17101,0,0,0,1,0
Hancock County,5962,1,0,0,0,0
Haralson County,6988,1,0,0,0,0
Hardeman County,927,0,0,0,1,0
Hardin County,27175,1,0,0,2,0
Hardin County,5381,0,0,0,1,0
Hardin County,13794,0,0,0,2,0
Harford County,57524,0,0,0,3,0
Harlan County,6393,0,0,0,1,0
Harney County,1447,0,0,0,1,0
Harris County,1203611,31,23,0,14,2
Harrison County,8882,0,0,0,1,0
Harrison County,48371,4,0,0,6,0
Harrison County,16767,1,0,0,0,0
Harrison County,14784,1,0,0,3,0
Harrisonburg County,8501,0,0,0,2,0
Hart County,4538,0,0,0,0,0
Hartford County,194863,2,4,0,2,0
Harvey County,8775,2,1,0,0,0
Hawaii County,42722,0,0,0,1,1
Hawkins County,11971,1,0,0,1,0
Hays County,43666,0,0,0,3,0
Haywood County,10943,0,0,0,1,0
Heard County,2738,0,0,0,1,0
Henderson County,21896,1,0,0,3,0
Henderson County,6526,1,0,0,0,0
Henderson County,17444,0,0,0,0,0
Hendricks County,40419,0,0,0,1,0
Hennepin County,270290,7,2,0,7,1
Henry County,3644,1,0,0,0,0
Henry County,57958,3,0,0,3,0
Henry County,11218,0,0,0,1,0
Henry County,10240,0,0,0,4,0
Henry County,4934,1,0,0,0,0
Henry County,10312,1,0,0,0,0
Hernando County,32885,0,0,0,6,0
Hertford County,4813,0,0,0,1,0
Hickman County,5316,0,0,0,1,0
Hidalgo County,279241,0,8,0,1,0
Highlands County,17486,0,0,0,3,0
Hillsborough County,305381,7,5,0,7,1
Hillsborough County,87925,0,0,0,4,0
Hinds County,61420,5,0,0,0,1
Hockley County,6342,0,1,0,0,0
Holmes County,3989,0,0,0,1,0
Honolulu County,213234,0,1,0,2,11
Hopewell County,5616,1,0,0,1,0
Hopkins County,10574,0,0,0,1,0
Hopkins County,9052,0,0,0,1,0
Horry County,57675,1,0,0,7,0
Houston County,38322,0,0,0,2,0
Howard County,19086,0,0,0,2,0
Howard County,76084,1,1,0,1,0
Hudson County,135830,2,1,0,1,0
Hudspeth County,787,1,0,0,0,0
Hughes County,2982,0,0,0,0,0
Humboldt County,26288,1,0,0,3,0
Humboldt County,2208,0,0,0,1,0
Humphreys County,3990,0,0,0,1,0
Hunt County,21150,1,0,0,0,0
Huntingdon County,8601,0,0,0,2,0
Huntington County,8222,0,0,0,2,0
Huron County,6285,0,0,0,0,0
Hutchinson County,5748,0,1,0,0,0
Iberia Parish County,19587,0,0,0,1,1
Iberville Parish County,7232,0,0,0,1,0
Imperial County,51041,0,2,0,0,0
Independence County,8870,0,0,0,0,0
Indian River County,25332,1,0,0,3,0
Ingham County,58055,1,0,0,1,0
Iowa County,3815,0,0,0,1,0
Iredell County,39835,0,0,0,4,0
Iron County,13803,0,0,0,1,0
Isanti County,9373,0,0,0,0,0
Island County,14983,0,0,0,1,0
Itasca County,9710,0,0,0,1,0
Jackson County,11428,0,0,0,1,0
Jackson County,9175,0,0,0,2,0
Jackson County,15901,0,0,0,1,0
Jackson County,10577,0,0,0,2,0
Jackson County,2963,0,0,0,1,0
Jackson County,35303,1,1,0,0,0
Jackson County,163966,18,3,0,15,1
Jackson County,34155,2,0,0,3,0
Jackson County,7892,0,0,0,1,0
Jackson County,44160,0,0,0,4,0
Jackson County,4626,0,0,1,1,0
Jasper County,3224,0,0,0,1,0
Jasper County,29973,0,0,0,3,0
Jasper County,5814,1,1,0,0,0
Jay County,5528,0,0,0,1,0
Jefferson Parish County,95422,9,0,0,1,0
Jefferson County,152643,8,0,0,10,0
Jefferson County,16845,2,0,0,0,0
Jefferson County,116727,0,5,0,12,0
Jefferson County,9403,0,0,0,1,0
Jefferson County,6921,0,0,0,1,0
Jefferson County,172526,10,1,0,12,1
Jefferson County,1763,1,0,0,0,0
Jefferson County,13200,1,0,0,0,0
Jefferson County,59780,3,0,0,4,0
Jefferson County,18904,1,0,0,1,0
Jefferson County,12758,0,0,0,1,0
Jersey County,4875,0,0,0,1,0
Jessamine County,12602,0,0,0,2,0
Jim Wells County,11662,0,0,0,1,0
Jo Daviess County,4295,0,0,0,1,0
Johnson County,6449,0,0,0,0,1
Johnson County,37475,0,0,0,1,0
Johnson County,145291,1,0,0,5,0
Johnson County,5257,0,0,0,1,0
Johnson County,11797,0,0,0,0,0
Johnston County,2609,0,0,0,1,0
Jones County,1914,0,0,0,1,0
Josephine County,16385,0,0,0,5,0
Kalamazoo County,57199,0,0,0,3,0
Kanabec County,3473,0,0,0,1,0
Kanawha County,38996,1,0,0,8,0
Kane County,142900,2,1,0,1,0
Kaufman County,30701,0,0,0,1,0
Kay County,11415,0,0,0,1,0
Kenai Peninsula Borough County,13277,0,0,0,4,0
Kendall County,9098,1,1,0,1,0
Kennebec County,24101,0,0,0,4,0
Kenosha County,40504,0,0,0,2,0
Kent County,40589,0,0,0,3,0
