County,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,HispanicDemog,HispanicShooting,BlackShooting,BlackDemog,WhiteShooting,WhiteDemog
Canyon County,7,4,1,6,1,49973,0,1625,6,144840
Cape Girardeau County,1,0,0,2,0,1716,0,6009,2,67585
Carbon County,1,0,0,1,0,2642,0,1224,1,59672
Carbon County,1,0,1,0,0,2706,1,165,0,17189
Carbon County,0,0,0,1,0,2742,0,237,0,12381
Caroline County,1,1,0,2,0,1250,0,8397,2,18998
Carroll County,4,1,0,4,0,7416,1,21791,3,81918
Carroll County,1,0,0,1,0,5034,0,6041,1,151382
Carroll County,1,1,0,1,0,680,0,2922,1,24114
Carson City County,4,3,0,4,0,12431,0,1199,4,37511
Carson County,1,1,0,1,0,601,0,54,0,5171
Carter County,0,0,0,1,0,326,0,190,1,26351
Carter County,2,1,0,2,0,3271,0,3466,2,34662
Carter County,2,1,0,2,0,967,0,910,2,54098
Carver County,2,1,2,0,0,3990,0,1557,2,87409
Cascade County,5,3,0,5,0,3376,0,1399,4,70733
Cass County,1,0,0,1,0,5304,1,768,0,31442
Cass County,1,1,0,1,0,485,0,114,1,24018
Cass County,4,1,0,4,0,4338,0,4035,2,89488
Cass County,0,0,0,1,0,4008,0,6179,1,147799
Cass County,0,0,0,1,0,791,0,127,1,24069
Cass County,1,1,0,1,0,1301,0,5174,1,23149
Catawba County,3,2,1,3,0,13753,1,13753,3,118682
Catoosa County,2,2,0,2,0,1837,0,1837,1,59977
Cecil County,4,1,0,6,0,4197,1,6962,5,87946
Centre County,1,0,0,1,0,4603,1,6032,0,137153
Chambers County,1,1,0,1,0,8124,0,3433,1,25862
Champaign County,1,0,1,0,0,11806,1,26513,0,143128
Charles County,1,1,0,1,0,8201,0,67779,0,68862
Charleston County,7,5,1,7,0,19431,4,108970,4,241563
Charlevoix County,1,1,0,1,0,470,0,130,1,24579
Charlotte County,2,2,0,2,0,11287,0,10445,2,142697
Charlottesville County,1,1,0,1,0,2234,1,8753,0,30136
Chatham County,7,4,3,5,0,17002,6,113634,2,141122
Chautauqua County,1,0,0,1,0,9243,0,3565,1,116206
Chaves County,3,3,1,2,0,36167,0,1646,2,26878
Cheatham County,2,1,0,2,0,1073,0,755,2,37099
Chelan County,1,0,0,1,0,20437,0,596,1,51167
Chemung County,2,2,0,2,0,2545,0,5968,2,75921
Cherokee County,1,1,0,1,0,23329,0,15245,1,185018
Cherokee County,6,4,3,3,0,3190,1,725,4,23783
Cherokee County,1,1,0,1,0,2296,0,11596,1,41009
Cherokee County,0,0,0,1,0,11198,0,7635,1,31253
