County,PercentageArmedShootings,PercentageArmedUnknownShootings,PercentageBodyCamOff,PercentageArmedGun,HispanicDemog,HispanicShooting,BlackShooting,BlackDemog,WhiteShooting,WhiteDemog
Pendleton County,0,0,0,1,0,81,0,176,1,6987
Pennington County,8,6,0,9,0,5303,0,1731,7,87026
Penobscot County,4,3,0,4,0,1994,0,1380,4,144362
Peoria County,3,3,0,3,1,8616,2,33904,0,133371
Perry County,2,1,0,2,0,286,0,225,1,9466
Perry County,2,2,0,2,0,220,0,469,2,26410
Perry County,1,1,0,1,0,286,0,179,1,34737
Pershing County,1,0,0,1,0,1560,0,281,1,4454
Person County,3,3,0,3,0,1643,1,10683,1,25983
Pettis County,2,2,0,3,0,3504,0,1435,3,36102
Philadelphia County,17,13,3,19,1,212200,18,688090,2,558586
Phillips County,2,1,0,2,0,338,2,12276,0,7095
Phillips County,1,1,0,1,0,898,0,43,0,3342
Phillips County,1,0,0,1,0,88,0,4,1,3584
Pickaway County,2,2,0,2,0,739,0,2104,2,52894
Pickens County,1,0,0,1,0,834,1,8186,0,11139
Pickens County,2,2,0,2,0,929,1,509,1,27927
Pickens County,2,2,0,2,0,4092,0,8305,1,103997
Pierce County,25,14,1,27,3,84856,5,61562,12,569038
Pike County,1,1,0,1,0,284,0,1867,0,15294
Pike County,2,0,0,2,0,504,0,504,2,61206
Pike County,1,1,0,3,0,254,0,310,3,26984
Pima County,33,23,3,37,17,362630,2,41185,12,535407
Pinal County,8,4,0,10,2,117360,1,19693,6,232710
Pine County,0,0,1,0,0,843,0,698,1,26127
Pinellas County,17,12,0,19,0,82552,8,102252,9,707325
Pitt County,5,4,0,5,0,10345,4,61023,1,98548
Pittsburg County,4,4,0,4,0,2052,2,1606,2,31327
Placer County,7,3,0,7,1,50178,1,6318,5,275796
Plymouth County,3,0,0,3,1,18252,0,50702,2,424377
Pocahontas County,1,1,0,1,0,129,0,95,1,8298
Poinsett County,1,1,0,1,0,654,0,1939,1,21215
Polk County,1,1,0,1,0,1294,0,101,1,17919
Polk County,19,13,0,20,6,124389,2,99638,12,394110
Polk County,0,0,0,1,0,5347,0,5347,1,29656
Polk County,9,6,3,7,0,36788,2,30810,8,364210
Polk County,2,1,0,2,1,10129,0,623,0,61943
Polk County,1,1,0,1,0,6635,0,5253,1,32716
Polk County,1,0,0,1,0,738,0,173,1,41438
Pontotoc County,1,1,0,1,0,1949,0,4828,1,23831
Pontotoc County,5,4,0,5,0,1824,0,950,5,25615
Pope County,5,3,0,5,0,5308,0,2022,5,53594
Portage County,2,0,0,2,0,2590,1,7284,1,146017
Porter County,1,0,1,1,0,15872,1,6348,1,140510
Portsmouth County,2,1,0,3,0,3840,3,51266,0,37729
Pottawatomie County,1,1,0,1,0,1190,0,320,1,20538
Pottawatomie County,2,1,0,3,0,3518,0,2297,3,52565
Pottawattamie County,1,1,0,1,0,6705,0,1490,1,82604
Potter County,9,8,0,10,5,45488,0,12892,3,56313
Powhatan County,1,1,0,1,0,568,0,3584,1,23754
Pratt County,1,1,0,1,1,669,0,137,0,8756
Prince Edward County,1,1,0,1,0,576,1,7522,0,14398
Prince George's County,11,9,0,14,1,152848,13,585166,0,128429
Prince William County,2,1,0,3,1,98140,1,95910,1,203864
Providence County,2,1,1,2,0,132082,2,72045,1,405095
Pueblo County,17,12,3,17,12,68796,1,4046,6,85631
Pulaski County,12,6,2,12,0,23562,7,141372,7,212059
Pulaski County,2,2,0,2,0,514,0,1819,2,31267
Putnam County,3,2,0,4,0,6925,4,11975,0,51726
Putnam County,2,2,0,2,0,624,1,624,1,54272
Quay County,1,0,0,1,0,3799,0,153,1,4301
Queens County,5,4,1,4,0,650042,2,482888,2,608253
Rabun County,1,0,0,1,0,1364,1,259,0,14245
Racine County,3,1,0,3,0,24395,2,22834,1,142664
Raleigh County,2,2,0,2,0,1173,1,6415,0,68539
Ramsey County,11,8,5,7,0,38883,5,62320,4,341964
Ramsey County,0,0,0,1,0,289,0,57,0,9852
Randolph County,1,1,0,1,0,153,1,4453,0,2654
Randolph County,1,1,0,1,0,812,0,177,1,23987
Randolph County,1,0,0,1,0,476,0,1479,0,22389
Randolph County,6,3,0,6,1,15848,1,8995,4,114365
Randolph County,2,1,0,2,0,235,0,441,1,28281
Rankin County,2,1,0,2,0,3849,0,29910,1,111052
Rapides Parish County,4,4,0,5,0,3709,3,42396,2,81612
Real County,1,1,0,1,0,900,0,30,1,2346
Red River Parish County,1,1,0,2,0,138,1,3424,1,4993
Red River County,1,0,1,0,0,896,1,2165,0,9098
Refugio County,1,1,0,1,0,3636,1,489,0,3103
Reno County,2,1,0,2,0,5741,0,2168,2,54097
Rensselaer County,1,1,0,2,0,7189,2,11663,0,134689
Richland County,3,1,0,3,0,2073,1,11584,2,105114
Richland County,1,1,0,1,0,20479,1,188334,0,177090
Richmond County,4,3,0,4,0,9262,2,111759,2,73297
Richmond County,1,1,0,1,0,85663,1,56320,0,296272
Richmond County,7,4,2,6,0,14956,5,110943,3,93033
Riley County,1,1,1,0,0,6090,0,5188,1,57974
Ripley County,1,1,0,1,0,484,0,113,1,27414
Ritchie County,0,0,0,1,0,70,0,40,1,9780
Riverside County,56,33,5,61,23,1104074,6,163048,14,871147
Roane County,1,1,0,1,0,896,0,1424,0,49108
Roane County,3,2,0,3,0,131,0,58,1,14238
Roanoke County,4,3,1,3,0,8398,2,34273,2,141758
Robeson County,4,3,0,4,0,10915,1,33285,2,35846
Rock Island County,3,3,1,2,0,18111,3,14314,0,107648
Rock County,1,1,0,1,0,13217,1,8220,0,134753
Rockcastle County,1,1,0,1,0,134,0,67,1,16422
Rockdale County,1,1,0,1,0,8775,0,44754,1,31942
Rockingham County,0,0,0,1,0,5410,0,17422,1,66846
Rockingham County,4,4,0,4,0,7816,0,2705,4,280479
Rockingham County,3,1,0,3,0,4690,0,1641,2,70432
Rockland County,1,1,0,1,0,55381,0,42426,1,205331
Rockwall County,0,0,0,1,1,14927,0,5356,0,63749
Rogers County,3,2,0,4,1,3772,0,1167,2,65295
Rolette County,0,0,0,1,0,233,0,58,0,2952
Rowan County,1,1,0,1,0,354,0,449,1,22377
Rowan County,2,2,0,2,0,11367,2,23012,0,101061
Runnels County,1,1,0,1,0,3531,0,270,0,6489
Rusk County,1,1,0,1,0,8681,0,9544,0,34672
Rusk County,1,0,0,1,0,243,0,85,1,13731
Russell County,2,1,1,3,0,2980,1,25571,2,29505
Rutherford County,2,2,0,2,0,2730,0,6593,2,55810
Rutherford County,2,2,0,2,0,20801,1,40446,1,212634
Rutland County,2,1,0,2,0,781,0,360,2,57622
Sabine Parish County,0,0,0,1,0,919,1,4089,0,16503
Sacramento County,31,18,8,27,6,333455,15,161540,11,690624
Saginaw County,2,1,0,3,0,15795,0,37832,2,136508
Saint Charles County,3,3,0,3,0,11764,0,17836,1,333574
Saint Clair County,4,4,0,4,0,1994,1,8236,3,74472
Saint Clair County,3,3,0,4,0,10097,3,80250,1,166080
Saint Clair County,1,1,0,1,0,5122,0,4162,1,146631
Saint Francis County,3,3,0,3,0,1183,2,14175,1,11055
Saint Francois County,2,2,0,2,0,923,0,2968,1,60881
Saint Johns County,4,3,0,5,0,13293,0,12421,5,183051
Saint Joseph County,4,1,0,4,1,21944,2,35325,1,198572
Saint Joseph County,1,0,0,1,0,4388,0,1706,0,53083
Saint Lawrence County,1,0,0,1,0,2450,0,2785,0,102710
Saint Louis County,5,3,1,4,0,3014,0,3215,5,183868
Saint Louis County,39,30,1,39,0,27050,29,239448,10,677268
Saint Lucie County,8,1,0,9,2,51220,6,58787,1,173161
Saint Mary's County,2,1,0,2,0,5187,0,16005,2,83117
Saline County,3,2,0,3,0,4860,0,7637,3,100212
Saline County,3,2,0,3,0,6077,0,2007,3,44771
Salt Lake County,36,20,13,25,6,194330,6,21834,24,792604
Sampson County,3,3,1,2,0,11785,0,17293,3,33434
San Bernardino County,67,32,5,73,24,1092224,10,200698,26,646461
San Diego County,34,16,16,29,18,1083459,5,182752,14,1524022
San Francisco County,14,7,4,12,6,130427,4,49443,5,351217
San Joaquin County,17,8,2,17,3,289816,5,57963,4,243302
San Juan County,4,3,2,5,2,24138,0,1114,2,50256
San Juan County,1,1,0,1,0,777,0,61,0,7106
San Luis Obispo County,5,4,0,5,1,61398,0,6139,4,193962
San Mateo County,5,3,0,5,2,191920,0,22757,3,306466
San Miguel County,1,1,0,1,1,21800,0,536,0,5365
San Patricio County,1,0,0,1,1,37472,0,1472,0,26899
Sanders County,1,1,0,1,0,284,0,34,0,10227
Sandoval County,2,2,0,2,2,51465,0,3577,0,62336
Sangamon County,0,0,1,0,0,4377,0,24675,1,161983
Santa Barbara County,9,4,0,10,7,195656,0,10576,2,202266
Santa Clara County,28,11,7,25,13,503964,4,54943,7,630903
Santa Cruz County,2,0,0,2,2,38663,0,420,0,7284
Santa Cruz County,3,1,1,2,0,90238,0,3805,2,158189
Santa Fe County,4,3,1,3,3,76008,0,1777,1,63858
Santa Rosa County,3,1,0,3,0,8497,0,10785,2,135313
Sarasota County,7,4,0,7,1,34535,1,19848,5,332257
Schenectady County,4,2,0,4,0,10278,0,17598,4,117424
Scott County,3,2,0,4,0,10797,0,12854,4,139337
Scott County,5,5,0,5,1,2153,1,2974,3,44770
Scott County,1,1,0,1,0,6704,0,5028,1,115788
Scott County,0,0,0,1,0,153,0,65,1,21437
Scott County,2,2,0,2,0,290,0,179,2,21667
Screven County,0,0,0,1,0,239,1,5873,0,7760
Scurry County,1,1,0,2,0,6809,0,883,2,9443
Searcy County,1,0,0,1,0,166,0,23,1,7429
Sebastian County,2,1,0,2,0,16987,1,8620,1,90137
Sedgwick County,10,5,1,12,3,70723,0,48336,10,350565
Seminole County,2,2,1,2,0,84963,0,53986,3,281440
Seminole County,1,0,0,1,0,1143,0,1169,1,16676
Seneca County,1,1,0,1,0,2672,0,1447,1,50324
Sequoyah County,3,2,0,4,0,1571,0,827,3,26551
Sevier County,3,2,1,2,0,5326,0,1141,3,86359
Shasta County,17,12,0,18,1,16901,0,1977,14,145461
Shawnee County,4,2,1,4,1,20695,1,15699,2,133447
Sheboygan County,2,1,1,1,0,6917,1,2075,1,98688
Shelby County,2,0,0,2,0,12399,0,25005,2,162224
Shelby County,2,2,0,2,0,1738,0,534,2,41458
Shelby County,1,1,1,0,0,3904,0,3455,1,36348
Shelby County,20,14,3,18,1,56328,14,500381,5,349234
Shelby County,1,1,0,1,0,4592,0,4490,1,16023
Sheridan County,1,0,0,1,0,241,0,21,0,4349
Sherman County,0,0,0,1,0,1301,1,37,0,1705
Sierra County,1,1,0,1,1,3329,0,90,0,7531
Silver Bow County,1,1,1,0,0,1456,0,173,1,31593
Simpson County,1,1,0,1,0,439,0,9804,1,16889
Siskiyou County,3,2,0,4,0,5191,0,610,4,33811
Smith County,2,0,0,2,0,494,0,399,2,17754
Smith County,1,0,0,1,1,40923,0,39172,0,132837
Snohomish County,8,3,0,9,1,73679,0,23547,6,547659
Socorro County,1,1,0,1,1,8533,0,225,0,6196
Solano County,8,2,4,6,4,110369,4,63807,2,170727
Somerset County,1,1,0,1,0,511,0,255,1,49116
Somerset County,1,0,0,1,0,1067,0,2134,1,72254
Sonoma County,2,0,1,2,2,130576,0,9505,1,323188
Spalding County,2,2,1,1,0,2879,0,21244,1,38392
Spartanburg County,7,4,1,7,0,18786,3,61643,5,202543
Spokane County,17,10,6,14,0,25184,1,9202,14,414576
Spotsylvania County,1,1,0,1,0,11239,1,20799,0,90560
Stafford County,1,1,0,1,0,15819,0,25198,1,90714
Stanislaus County,15,5,5,12,8,234610,2,17555,6,235674
Stark County,1,0,0,1,0,1488,0,516,0,27182
Stark County,1,1,1,2,0,7138,0,29307,3,327266
Starke County,1,0,0,2,0,784,0,92,0,21804
Starr County,2,2,1,1,1,60310,1,251,0,2392
Stearns County,2,1,0,2,0,4740,0,5963,1,136397
Stevens County,1,1,0,1,0,411,0,127,1,8810
Stevens County,1,1,0,1,0,1527,0,218,1,37888
Stewart County,1,1,0,1,0,1407,0,2958,1,1585
Stillwater County,0,0,0,1,0,306,0,27,1,8695
Stokes County,1,0,0,1,0,1346,0,1949,1,42426
Stone County,1,1,0,1,0,224,0,49,0,11869
Stone County,1,1,0,1,0,622,0,155,1,29611
Stone County,1,1,1,0,0,303,0,3539,1,13728
Strafford County,1,1,0,1,0,2763,0,1507,1,115178
Stutsman County,1,1,0,1,0,443,0,232,1,19755
Suffolk County,10,7,1,9,2,167261,6,189511,0,358307
Suffolk County,5,2,0,6,0,273540,2,124746,4,1041556
Suffolk County,1,0,1,0,0,3211,0,37239,1,43316
Sullivan County,1,1,0,1,0,378,0,989,1,19366
Sullivan County,2,2,0,2,0,646,0,301,1,41163
Sullivan County,1,1,0,1,0,114,0,202,1,5926
Sullivan County,5,4,0,5,0,2669,0,3769,5,147153
Summit County,7,6,1,10,0,10296,2,80207,5,424883
Sumner County,2,0,1,1,0,7599,1,12262,1,148009
Sumter County,3,2,0,3,1,6403,0,9491,2,96740
Sumter County,2,2,1,1,0,4100,1,50829,1,50074
Sussex County,4,3,0,4,1,19608,1,26988,1,158136
Sussex County,1,1,0,1,0,329,1,6766,0,4542
Sutter County,2,1,0,2,1,28658,0,2396,0,45814
Talladega County,1,1,0,3,0,1870,1,26429,2,51558
Tallapoosa County,1,0,1,0,0,946,0,11238,1,28362
Tangipahoa Parish County,2,1,1,2,0,4954,0,38368,3,81184
Taos County,3,2,0,3,3,18560,0,264,0,11943
Tarrant County,31,24,6,32,9,540810,12,315148,13,959062
Tate County,1,1,0,1,0,705,1,8827,0,18247
Tattnall County,1,0,0,2,0,2648,0,7441,2,14831
Taylor County,3,1,0,3,0,31893,1,10541,2,88113
Taylor County,1,1,0,1,0,153,0,187,1,16437
Tazewell County,2,1,0,2,0,2985,0,1764,2,127835
Tehama County,7,4,0,7,3,15199,0,630,3,43768
Terrebonne Parish County,7,6,1,6,2,5553,1,21532,3,76609
Thomas County,1,1,1,1,0,1528,2,16544,0,25986
Thomas County,1,1,0,1,0,426,0,63,1,7212
Thurston County,5,2,0,6,0,22331,0,9038,2,202844
Tioga County,1,0,0,1,0,549,1,380,0,40625
Tippecanoe County,2,2,0,2,0,14645,0,8970,2,142980
Tishomingo County,2,2,0,2,0,504,0,543,2,18138
Todd County,1,1,0,1,0,513,0,1064,1,10754
Todd County,2,0,1,2,0,365,0,29,0,1027
Tolland County,1,0,0,1,0,7568,0,5449,1,130478
Tom Green County,5,4,0,5,3,44427,0,5363,2,64251
Tompkins County,1,0,0,1,0,4920,0,4606,1,81554
Tooele County,1,1,0,1,0,7268,0,554,0,51557
Toole County,1,1,0,1,0,154,0,41,1,4557
Transylvania County,1,1,0,1,0,1057,0,1354,1,29839
Travis County,27,20,5,24,9,390238,4,102451,14,572119
Trigg County,0,0,0,1,0,240,0,1088,1,12487
Trinity County,1,1,0,1,0,961,0,65,1,10878
Trinity County,0,0,0,1,0,1308,0,1393,1,11194
Troup County,3,3,0,3,0,2570,0,24592,2,40153
Trumbull County,5,4,0,5,1,3282,1,17645,2,179528
Tulare County,14,7,0,15,9,288206,1,10080,4,138833
Tulsa County,29,15,8,25,2,74292,5,67996,21,401053
Tuolumne County,1,0,0,1,0,6190,0,1130,0,43656
Tuscaloosa County,0,0,0,1,0,6672,0,62685,1,127797
Tuscarawas County,1,0,1,0,0,2226,1,835,0,88241
Ulster County,1,1,0,1,0,17683,0,12270,0,144716
Union Parish County,0,0,0,1,0,991,0,5905,1,15484
Union County,0,0,0,1,0,1448,1,13114,0,24739
Union County,1,1,0,1,0,350,0,125,1,11840
Union County,1,0,0,1,0,101,0,50,1,6948
Union County,1,0,1,0,0,24042,0,26446,1,160647
Union County,2,1,0,2,0,334,0,8836,1,18230
Unknown County,1,0,0,1,0,334,0,8836,0,18230
Upshur County,1,1,1,0,0,3187,0,3430,1,32606
Upshur County,1,1,0,1,0,296,0,222,1,23815
Utah County,5,1,1,4,0,62829,0,3926,5,467291
Val Verde County,0,0,0,1,1,39375,0,979,0,8227
Valencia County,2,1,0,4,2,45111,2,1288,0,26005
Van Buren County,2,2,0,2,0,522,0,84,1,15755
Van Wert County,1,0,0,1,0,796,0,284,1,26925
Vance County,1,1,0,1,0,3212,0,22708,1,18247
Vanderburgh County,8,3,4,4,0,4550,2,17108,6,153613
Ventura County,7,2,3,5,3,355394,1,18615,2,394318
Vermilion Parish County,1,1,1,0,0,1907,1,8763,0,46679
Vermilion County,1,1,0,1,0,3747,1,10763,0,63224
Vernon Parish County,1,1,0,1,0,5004,1,7715,0,36388
Vernon County,0,0,0,1,0,420,0,168,1,19782
Victoria County,1,0,1,0,0,41259,0,6284,1,42079
Vigo County,4,4,0,5,0,2812,0,7788,5,92922
Virginia Beach County,6,4,0,8,1,34725,4,90196,2,283666
Volusia County,21,16,9,13,4,61918,2,56335,16,374557
Wabash County,2,2,1,1,0,774,0,258,2,30510
Wadena County,2,2,0,2,0,233,0,137,2,13041
Wagoner County,0,0,1,1,0,4239,0,2952,2,54808
Wake County,11,8,1,10,0,99869,5,212721,5,609201
Walker County,0,0,0,2,0,1505,0,4190,1,58531
Walker County,4,4,0,4,1,1364,0,3069,3,62283
Walker County,1,0,0,1,0,12422,0,16121,0,39849
Walla Walla County,1,1,0,1,0,12686,0,1256,0,43386
Waller County,2,2,0,2,0,13952,1,11985,1,20273
Walton County,5,3,0,5,0,3416,3,14894,1,67025
Walworth County,1,0,0,2,0,11491,1,1345,1,88619
Ward County,1,1,0,2,0,5986,1,569,0,4905
Warren County,0,0,0,2,0,6143,0,11323,2,96729
Warren County,2,1,0,2,0,8981,0,4811,2,89275
Warren County,1,1,0,1,0,3317,0,1438,1,34533
Warrick County,1,0,0,1,0,1039,0,978,1,56990
Wasco County,1,1,0,1,0,4337,0,153,0,19314
Washington Parish County,0,0,0,1,0,972,0,14070,0,30502
Washington County,1,1,1,1,0,235,0,4141,2,10958
Washington County,7,6,1,7,0,35768,1,7727,6,159411
Washington County,1,1,0,1,0,1235,0,198,1,20238
Washington County,1,0,0,1,0,390,0,111,1,27013
Washington County,2,1,1,1,0,9472,0,10719,2,209647
Washington County,1,1,0,1,0,326,0,601,0,23672
Washington County,2,1,0,3,0,636,1,34956,2,12875
Washington County,1,1,0,1,0,506,0,162,1,19285
Washington County,1,1,0,1,0,673,0,734,1,58335
Washington County,0,0,0,2,0,2960,0,1402,1,38433
Washington County,14,10,1,13,0,91768,1,12385,13,381712
Washington County,2,1,0,2,0,3122,1,6661,0,193197
Washington County,6,3,1,5,0,4165,0,5428,6,112860
Washington County,2,0,0,2,1,766,0,820,1,52320
Washington County,3,2,0,3,0,1120,0,530,3,55694
Washington County,2,1,0,2,0,3997,0,1465,2,124456
Washita County,2,1,0,2,0,1108,0,138,2,9687
Washoe County,13,9,1,18,11,103418,2,11442,4,282530
Watauga County,0,0,0,1,0,1839,0,998,1,48407
Watonwan County,1,0,0,1,1,2538,0,188,0,8256
Waukesha County,4,3,0,4,0,18175,0,5531,4,353235
Waupaca County,1,0,1,0,0,1561,0,208,1,49358
Waushara County,1,1,0,1,0,1547,0,507,1,21711
Wayne County,1,1,0,1,0,1886,0,6199,1,21263
Wayne County,1,1,0,1,0,553,0,368,1,19256
Wayne County,22,15,4,21,1,100593,14,693567,6,882402
Wayne County,1,1,1,0,0,3682,0,3037,1,83122
Wayne County,1,1,1,0,0,2079,0,1964,1,108835
Wayne County,1,1,0,1,0,2158,0,1850,0,46723
Wayne County,1,1,0,1,0,287,0,205,1,40052
Waynesboro County,1,1,0,1,0,1495,1,2499,0,16622
Webb County,5,2,0,7,5,253872,0,1866,1,9866
Weber County,11,6,5,7,6,42564,0,3847,6,185406
Webster County,3,2,1,2,0,1589,0,1552,3,32816
Weld County,10,7,2,9,6,79968,1,3887,4,185205
West Baton Rouge Parish County,0,0,0,1,0,677,1,9657,0,14373
Westchester County,3,3,0,5,0,230514,4,156594,0,534948
Westmoreland County,4,4,0,4,0,3952,1,8983,3,338838
Whatcom County,1,0,1,1,1,18543,0,2500,1,166472
Wheeler County,0,0,0,1,0,431,0,3070,1,4461
White County,2,2,0,2,0,3300,0,3615,2,69475
White County,1,1,0,1,0,1882,1,195,0,22056
White County,1,1,0,2,0,552,0,526,1,24670
Whiteside County,0,0,0,1,0,6711,1,966,0,48287
Whitfield County,1,0,0,2,0,34479,0,4555,1,62228
Whitley County,1,0,0,1,0,355,0,284,1,34118
Wichita County,2,1,0,2,1,24220,1,14426,0,88148
Wicomico County,2,2,0,2,0,5280,1,25587,1,65797
Wilbarger County,1,0,0,1,0,3723,0,1128,0,7770
Wilkes County,3,3,0,3,0,3992,0,3097,3,60715
Will County,2,1,0,2,0,113779,1,80879,1,447578
Williams County,1,1,0,1,0,1528,0,447,1,34717
Williamsburg County,1,1,0,1,0,751,1,21284,0,10298
Williamson County,2,2,0,2,0,1608,0,2881,2,60776
Williamson County,3,2,0,3,0,9645,0,9235,3,175673
Williamson County,2,2,0,2,0,116930,0,33269,2,301867
Wilson County,1,1,0,1,0,8221,1,32397,0,39398
Wilson County,0,0,0,1,0,17911,0,788,1,27005
Winchester County,2,1,2,0,0,4517,0,3194,2,18591
Winkler County,0,0,0,1,1,4551,0,234,0,2987
Winn Parish County,2,2,0,2,0,280,0,4555,2,9612
Winnebago County,3,1,0,4,0,34625,2,37221,1,204287
Winnebago County,5,3,1,5,0,6610,1,3390,5,151881
Wise County,1,1,0,1,0,479,0,2156,1,36740
Wolfe County,1,1,0,1,0,50,0,21,1,7055
Wood County,1,1,0,1,0,6868,0,3628,1,115075
Wood County,1,1,0,1,0,4113,0,2142,1,35695
Wood County,1,0,0,1,0,1987,0,515,1,68529
Wood County,0,0,0,1,0,862,0,1034,1,82356
Woodbury County,0,0,0,1,0,15545,0,2863,1,77419
Worcester County,6,4,0,6,1,85414,0,43114,4,641018
Worth County,2,2,0,2,0,439,1,6051,1,14155
Wright County,1,1,0,1,0,310,0,128,1,17431
Wyandotte County,6,6,0,6,2,44126,2,40085,2,68695
Wythe County,2,1,0,2,0,320,1,844,0,27402
Yadkin County,1,1,0,1,0,4043,0,1322,1,32009
Yakima County,4,3,1,5,3,118146,0,3715,0,111459
Yalobusha County,1,1,0,2,0,208,0,4726,2,7181
Yamhill County,0,0,0,2,0,15976,1,1119,1,79269
Yancey County,1,0,0,1,0,863,0,211,1,16345
Yavapai County,8,7,3,6,0,31075,0,1969,7,177044
Yellowstone County,11,8,2,10,0,8092,0,1245,9,135557
Yolo County,3,1,3,0,0,65390,1,6227,1,100265
York County,2,1,0,2,1,3412,0,1404,1,190273
York County,1,0,0,1,0,681,0,222,1,12706
York County,3,2,0,4,0,28649,2,28649,2,373760
York County,1,0,1,0,0,12267,0,47842,1,175667
York County,1,1,1,0,0,3847,1,8889,0,48097
Yuba County,5,5,0,5,0,20118,2,2958,2,41864
Yuma County,5,1,0,5,2,125403,0,5487,1,66868
